,Time,Power
1052,1.582,6.81E-05
1053,1.582,-0.000234555
1054,1.582,0.000205363
1055,1.582,-0.000109895
1056,1.592,0.000688463
1057,1.592,0.000354898
1058,1.592,0.000344038
1059,1.592,0.000338882
1060,1.592,0.000300667
1061,1.592,1.99E-05
1062,1.592,0.000261078
1063,1.602,0.000495262
1064,1.602,0.000193508
1065,1.602,0.000146035
1066,1.602,8.93E-05
1067,1.602,0.00020663
1068,1.602,-0.00012368
1069,1.612,-0.000154299
1070,1.612,0.00010245
1071,1.612,-0.000280246
1072,1.612,3.72E-05
1073,1.612,-0.000203259
1074,1.612,-0.00026874
1075,1.622,-0.000310131
1076,1.622,-0.000130332
1077,1.622,-0.000161702
1078,1.622,-0.000403643
1079,1.622,-0.000639161
1080,1.622,-0.000769876
1081,1.632,-0.000520424
1082,1.632,-0.000558875
1083,1.632,-0.00088356
1084,1.632,-0.000531475
1085,1.632,-0.00078247
1086,1.632,-0.00047605
1087,1.632,-0.000440042
1088,1.642,-0.000675548
1089,1.642,-0.000382403
1090,1.642,-0.000356782
1091,1.642,-0.000305133
1092,1.642,5.69E-05
1093,1.642,-0.00048814
1094,1.652,-0.000140395
1095,1.652,-8.98E-05
